en|hi
2024 09 26 14:59:19.897886|2024 02 29 19:58:33.645387
en|एन
Debian Edu Skolelinux 12 Bookworm Manual|डेबियन एडु/Skolelinux 12 बुकवार्म मैनुअल
Publish date:|प्रकाशित तिथि:
Manual for Debian Edu 12 Codename bookworm|डेबियन एडु 12 कोडनेम बुकवर्म के लिए मैनुअल
Debian Edu Installer Logo|डेबियन एडु इंस्टालर लोगो
This is the manual for the Debian Edu 12 (bookworm) release.|यह डेबियन एडु 12 (बुकवर्म) रिलीज के लिए मैनुअल है।
The source at is a wiki and updated frequently.|का स्रोत विकी है और इसे अक्सर अपडेट किया जाता है।
Updated translations are available online.|अद्यतन अनुवाद उपलब्ध हैं ऑनलाइन
About Debian Edu and Skolelinux|डेबियन एडु और Skolelinux के बारे में
Debian Edu aka Skolelinux is a Linux distribution based on Debian providing an out of the box environment of a completely configured school network. It implements a client server approach. Servers and clients are pieces of software that interact with one another. Servers provide information required by clients to function. When a server is installed on one machine and its client on a different machine, the machines themselves are referred to as the server and the client, by extension of the concept.|डेबियन एडु उर्फ Skolelinux एक लिनक्स वितरण है जो डेबियन पर आधारित है जो पूरी तरह से कॉन्फ़िगर किए गए स्कूल नेटवर्क का आउट ऑफ द बॉक्स वातावरण प्रदान करता है। यह क्लाइंट सर्वर दृष्टिकोण को लागू करता है। सर्वर और क्लाइंट सॉफ्टवेयर के टुकड़े हैं जो एक दूसरे के साथ इंटरैक्ट करते हैं। सर्वर क्लाइंट द्वारा कार्य करने के लिए आवश्यक जानकारी प्रदान करते हैं। जब एक सर्वर एक मशीन पर और उसके क्लाइंट को एक अलग मशीन पर स्थापित किया जाता है, तो अवधारणा के विस्तार के द्वारा मशीनों को स्वयं सर्वर और क्लाइंट के रूप में संदर्भित किया जाता है।
The chapters about hardware and network requirements and about the architecture contain basic system design details.|हार्डवेयर और नेटवर्क आवश्यकताओं और आर्किटेक्चर के बारे में अध्यायों में बुनियादी सिस्टम डिज़ाइन विवरण शामिल हैं।
GOsa² 2.8|GOsa²
