en|pt
2024 09 26 15:02:37.590951|2023 11 07 10:54:49.167745
app;application;package;program;programme;suite;tool|app;aplicação;pacote;programa;programar;suite;ferramenta
Channel|Canal
Confinement|Confinamento
Contact|Contacto
Description|Descrição
Developer website|Página Web do Desenvolvedor
Download size|Tamanho da Transferência
Gallery|Galeria
License|Licença
Links|Endereços
Publisher|Publicador
Published|Publicadas
Summary|Sumário
Version|Versão
Explore|Explorar
Categories|Categorias
Check for updates|Verificar por atualizações
Checking for updates|A verificar atualizações
Check for available updates, update your apps, and manage the status of all your apps.|Verifique a disponibilidade de atualizações, atualize as suas aplicações e gerencie o estado de todas as suas aplicações.
Installed and updated|Instalada e atualizada
Manage|Gerir
No updates available. Your applications are all up to date.|Sem atualizações disponíveis. Todas as aplicações estão atualizadas.
Search your installed apps|Procurar as suas aplicações instaladas
Show details|Mostrar detalhes
Show system snaps|Mostrar snaps do sistema
Update all|Atualizar tudo
Updated days ago|Atualizado há dias
Updates available|Atualizações disponíveis
Productivity|Produtividade
Development|Desenvolvimento
Games|Jogos
Unknown publisher|Publicador desconhecido
Debian packages|Pacotes Debian
Search for apps|Procurar por todas as aplicações
See all results for|Ver todos os resultados para
Snap packages|Pacotes Snap
Filter by|Filtrar por
No results found for|Sem resultados encontrados para
Try using different or more general keywords|Tente utilizar palavras chave diferentes ou mais gerais
Sorry, we couldn’t find any packages in this category|Lamentamos, não foi possível encontrar quaisquer pacotes nesta categoria
Try a different category or use more general keywords|Experimente uma categoria diferente ou utilize palavras chave mais gerais
Sort by|Ordenar por
Relevance|Relevância
Results for|Resultados por
About|Acerca
Version|Versão
Designed and developed by:|Desenhado e desenvolvido por:
Be part of the community:|Faz parte da comunidade:
Contribute or report a bug|Contribuir ou reportar um erro
Find us on GitHub|Encontre nos no GitHub
Publish to the Snap Store|Publicar na Snap Store
Learn more|Saber mais
Bug tracker|Sistema de acompanhamento de erros
Contact|Contacto
Donate|Doar
Help|Ajuda
Homepage|Página Inicial
Translations|Traduções
Debian packages|Pacotes Debian
Snap packages|Pacotes Snap
Cancel|Cancelar
Install|Instalar
Installing|A instalar
Open|Abrir
Uninstall|Desistalar
Uninstalling|A desistalar
Switch channel|Mudar de canal
Update|Atualizar
All categories|Todas as categorias
Updating|A atualizar
Art and Design|Arte e Concepção
Books and Reference|Livros e Referências
Discover more|Descobrir mais
Development|Desenvolvimento
Must have snaps for developers|Snaps essenciais para desenvolvedores
Devices and IoT|Dispositivos e IoT
Education|Educação
Entertainment|Entretenimento
Featured|Destaque
Featured Snaps|Snaps em Destaque
Finance|Finanças
Games|Jogos
Everything for your game night|Tudo para a tua noite de jogos
Health and Fitness|Saúde e Fitness
Music and Audio|Música e Áudio
News and Weather|Notícias e Tempo
Personalisation|Personalização
Photo and Video|Foto e Vídeo
Productivity|Produtividade
Discover the productivity collection|Descubra a coleção de produtividade
Cross one thing off your to do list|Risque uma coisa da tua lista de tarefas
Science|Ciência
Security|Segurança
Server and Cloud|Servidor e Cloud
Ubuntu Desktop|Ambiente de Trabalho Ubuntu
Jump start your desktop|Dê um impulso inicial ao seu ambiente de trabalho
Utilities|Utilitários
Classic|Clássico
Devmode|Modo de desenvolvedor
Strict|Restrito
Alphabetical (A to Z)|Por ordem alfabética (de A a Z)
Alphabetical (Z to A)|Por ordem alfabética (de Z a A)
Size (Smallest to largest)|Por tamanho (do mais pequeno ao maior)
Size (Largest to smallest)|Por tamanho (do maior ao mais pequeno)
Size (Smallest to largest)|Por tamanho (do mais pequeno ao maior)
Size (Largest to smallest)|Por tamanho (do maior ao mais pequeno)
Least recently updated|Menos recentemente atualizado
Most recently updated|Mais recentemente atualizado
Relevance|Relevância
Very good|Muito bom
Good|Bom
Neutral|Neutro
Poor|Pobre
Very poor|Muito pobre
Insufficient votes|Votos insuficientes
votes|votos
Explore|Explorar
My Apps|Minhas aplicações
Updates|Atualizações
Settings|Definições
Art and Design|Arte e Concepção
Books and Reference|Livros e Referências
Development|Desenvolvimento
Devices and IoT|Dispositivos e IOT
Education|Educação
Entertainment|Entretenimento
Featured|Destaque
Finance|Finanças
Games|Jogos
Health and Fitness|Saúde e Fitness
Music and Audio|Música e Áudio
News and Weather|Notícias e Meteorologia
Personalization|Personalização
Photo and Video|Foto e Vídeo
Productivity|Produtividade
Science|Ciência
Security|Segurança
Server and Cloud|Servidor e Cloud
Utilities|Utilitários
All snap categories|Todas as categorias snap
Tools for artists|Ferramentas para artistas
Organize your book collection|Organize a sua coleção de livros
Apps for developers|Aplicações para programadores
Devices and IoT|Dispositivos e IOT
Home schooling tools|Ferramentas de ensino doméstico
Home entertainment tools|Ferramentas de entretenimento doméstico
Our featured apps|As nossas aplicações em destaque
Financial tools|Ferramentas financeiras
Games and gaming|Jogos
Health and Fitness|Saúde e Fitness
Music and Audio|Música e Áudio
News and Weather|Notícias e Tempo
Personalization|Personalização
Photo and Video|Foto e Vídeo
Be productive!|Seja produtivo!
Science tools|Ferramentas científicas
Protect your data|Proteja os seus dados
Server and Cloud|Servidor e Cloud
Come together|Juntem se
Utilities|Utilitários
Installation Date|Data de instalação
Last updated|Última atualização
Not installed|Não instalado
Confinement|Confinamento
License|Licença
Version|Versão
Channel|Canal
Install|Instalar
Refresh|Atualizar
Remove|Remover
Description|Descrição
Open|Abrir
Contact|Contacto
About|Acerca
Show more|Mostrar mais
Show less|Mostrar menos
Snap packages|Pacotes Snap
Debian packages|Pacotes Debian
Connections|Ligações
Update available|Atualização disponível
updates available|atualizações disponíveis
Size|Tamanho
Name|Nome
Sort by|Ordenar por
Media|Média
Done|Concluído
Updates|Atualizações
Search|Procurar
Update selected|Atualizar os selecionados
Select all|Selecionar tudo
All updates selected|Todas as atualizações selecionadas
updates selected|atualizações selecionadas
Weve got updates for you!|Temos atualizações para si!
Just a moment!|Um momento!
Deselect all|Desselecionar tudo
Update|Atualizar
Update|Atualizar
Check for updates|Verificar por atualizações
Everything is up to date|Tudo está atualizado
Hang on we are updating your system. Please do not close this app, or shutdown your computer|Aguarde estamos a atualizar o sistema. Não feche esta aplicação, ou desligue o computador
We are checking for updates|Estamos a verificar se há atualizações
Ready to update|Pronto a atualizar
apps|aplicações
Set the snap filter|Definir o filtro snap
Enter repository name|Introduzir o nome do repositório
Restart system to finalize updates|Reiniciar o sistema para finalizar as atualizações
Logout to finalize updates|Terminar a sessão para finalizar as atualizações
Restart the app to finalize updates|Reiniciar a aplicação para finalizar as atualizações
Issued|Publicado
Changelog|Registo de alterações
Architecture|Arquitetura
Source|Fonte
Sources|Fontes
Package Installer|Instalador de pacotes
classic|clássico
Verified Publisher|Editor verificado
Publisher|Editor
Updates complete|Atualizações concluídas
Find us on GitHub|Encontre nos no GitHub
For the full changelog, please visit:|Para o registo de alterações completo, visite:
Sorry, we couldnt find any package with this search query|Não foi possível encontrar nenhum pacote com esta pesquisa
Sorry, we couldnt find any snap with this search query|Não foi possível encontrar nenhum snap com esta pesquisa
Cancel|Cancelar
Confirm|Confirmar
Ubuntu Software keeps running in the background to check for system updates.|O Ubuntu Software continua a funcionar em segundo plano para verificar as atualizações do sistema.
Quit|Sair
System updates are currently running. Quitting the App now could leave your system in a damaged state!|As atualizações do sistema estão atualmente em curso. Sair agora da aplicação pode deixar o sistema num estado danificado!
The package format of applications|O formato do pacote das aplicações
All package types|Todos os tipos de pacotes
The category|A categoria
The type of package|O tipo de pacote
Package details|Detalhes do pacote
Copy error message|Copiar mensagem de erro
Ubuntu Software is developed and designed by|O Ubuntu Software é desenvolvido e concebido por
Reviews and ratings|Análises e avaliações
Rating|Avaliação
Your review|A sua análise
Review Title|Título da análise (opcional)
Your name|O seu nome (opcional)
Click to rate|Clique para avaliar
Show all reviews|Mostrar todas as análises
Send|Enviar
Unknown|Desconhecido
Review sent|Análise enviada
Weve found multiple formats for this application.|Encontrámos vários formatos para esta aplicação.
Changing permissions|Alteração de permissões
Permissions|Permissões
Installing|A instalar
Processing|A processar
Removing|A remover
Refreshing|A recarregar
Attention!|Atenção!
Theme|Tema
System|Sistema
Light|Claro
Dark|Escuro
There are no Snap applications installed on your system|Não existem aplicações Snap instaladas no sistema
app;application;package;program;programme;suite;tool|app;aplicação;pacote;programa;programar;suite;ferramenta
Released at|Lançado em
Installed|Instalado
Configure|Configurar
Setup where your system and third party Debian packages are updated from.|Configuração de onde o seu sistema e pacotes de Debian de terceiros são atualizados.
Dependencies|Dependências
Are you sure you want to proceed?|Tem a certeza de que quer prosseguir?
See full list of dependencies|Ver lista completa de dependências
Gallery|Galeria
Additional Information|Informação adicional
Links|Ligações
